"id","notification_type","from_id","to_id","created_date_time","updated_date_time","is_read","resource_id"
"3CB380CC-7291-44E5-B2D3-00028C2AE6B7",new_request,BEE3A2AC-6573-4FF2-9771-7DC396B3936F,"8EA90E48-0DE5-4ECD-B249-A6E1DCB0C801","2023-07-25 07:06:08.000 +0000",,0,"8E89FF68-06A3-452E-AAC7-AF3FD68D3DED"
FE1206C6-E987-4C71-93A5-000EB88D302B,new_proposal,"2B8DAFC8-6C96-406C-9088-A473BDCAECE7","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","2023-07-21 05:26:10.000 +0000",,0,"0D0CFBB2-4C9D-4FF4-9481-2F4A79335F85"
"85DA12D0-D307-4672-A42F-006032D5F804",assign_request,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","8EA90E48-0DE5-4ECD-B249-A6E1DCB0C801","2023-07-27 05:27:09.000 +0000","2023-07-28 05:50:29.000 +0000",1,FB4DE14B-BDC1-441B-8A35-CF407E69571A
"47D61C2A-8264-4624-B102-008235DA746D",hold_request,"8EA90E48-0DE5-4ECD-B249-A6E1DCB0C801","2B8DAFC8-6C96-406C-9088-A473BDCAECE7","2023-07-27 06:29:02.000 +0000",,0,FB4DE14B-BDC1-441B-8A35-CF407E69571A
"678202D4-23A0-418C-B3ED-008EC85EB976",new_proposal,"2B8DAFC8-6C96-406C-9088-A473BDCAECE7",B5EEFBDE-8512-4323-8A25-675805D16078,"2023-07-18 13:10:50.000 +0000",,0,"86A810E4-EAD1-488B-8B71-B6F2AC8E32BA"
"9E62AFC8-94A2-46CB-9036-012CC74144DA",new_proposal,"2B8DAFC8-6C96-406C-9088-A473BDCAECE7",B5EEFBDE-8512-4323-8A25-675805D16078,"2023-07-27 09:45:25.000 +0000",,0,"4FA73AE2-4076-4EBE-B0E9-FAC7ECF0B8E0"
"6ACDF35D-9922-4B8C-A0F8-01FF1273B766",hold_request,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83","64291ED9-2E8C-421A-BA96-0BE1E9D09D83","2023-07-27 12:30:45.000 +0000",,0,"6C88AB1D-3084-4C35-8F3E-F7D474BA941A"
"7E58EE2F-2EFA-4737-B32C-0338668D01E6",hold_request,"64291ED9-2E8C-421A-BA96-0BE1E9D09D83",C8B49670-E2A0-4E59-BF84-3D4D171FB251,"2023-07-26 12:07:49.000 +0000",,0,EEE763F1-969F-4B5D-B300-B0767A98A320
C33FF017-5EC2-43D8-90B1-03B85C5E6404,new_proposal,"2B8DAFC8-6C96-406C-9088-A473BDCAECE7",C7647735-304C-4005-8556-5F7A26C240B3,"2023-07-27 13:37:49.000 +0000",,0,C8E89257-FDE2-4DB6-B3BF-B251097604A0
D45BFF58-D2D7-4DE9-9F8F-03BA4643D052,new_request,BEE3A2AC-6573-4FF2-9771-7DC396B3936F,"8EA90E48-0DE5-4ECD-B249-A6E1DCB0C801","2023-07-25 06:53:40.000 +0000",,0,D612D5CB-A610-4254-872E-E6078E054FBF
